Category,Skin,Name,Price,Rank,X,Y
Moisturizer,Combination,Crème de la Mer,175,4.1,-54.363785,-54.161537
Moisturizer,Combination,Facial Treatment Essence,179,4.1,-15.465014,14.437239
Moisturizer,Combination,Protini™ Polypeptide Cream,68,4.4,3.359781,-49.171535
Moisturizer,Combination,The Moisturizing Soft Cream,175,3.8,72.21441,41.657623
Moisturizer,Combination,Your Skin But Better™ CC+™ Cream with SPF 50+,38,4.1,-102.78459,-67.13957
Moisturizer,Combination,The Water Cream,68,4.2,16.848066,10.120224
Moisturizer,Combination,Lala Retro™ Whipped Cream,60,4.2,-10.722922,-64.081406
Moisturizer,Combination,Virgin Marula Luxury Facial Oil,72,4.4,4.705422,-1.2712342
Moisturizer,Combination,Ultra Facial Cream,29,4.4,-41.212173,-12.280134
Moisturizer,Combination,Midnight Recovery Concentrate,47,4.4,4.692231,-8.101495
Moisturizer,Combination,The True Cream Aqua Bomb,38,4.5,36.34297,-55.430805
Moisturizer,Combination,Luna Sleeping Night Oil,105,4.1,36.50331,-5.593057
Moisturizer,Combination,Honeymoon Glow AHA Resurfacing Night Serum with Echinacea GreenEnvy™,58,4.6,30.422596,4.3976636
Moisturizer,Combination,The Littles™,90,4.4,-11.381979,-68.72347
Moisturizer,Combination,Ultra Repair® Cream Intense Hydration,30,4.6,-29.953966,-27.814325
Moisturizer,Combination,Moisture Surge 72-Hour Auto-Replenishing Hydrator,39,4.4,-53.871895,-13.849669
Moisturizer,Combination,Crème de la Mer Mini,85,4.1,-56.70495,-51.961327
Moisturizer,Combination,Black Tea Firming Overnight Mask,92,4.1,-19.340044,47.56812
Moisturizer,Combination,Virgin Marula Luxury Facial Oil Mini,40,4.5,3.8310695,2.9909832
Moisturizer,Combination,Dr. Andrew Weil For Origins™ Mega-Mushroom Relief & Resilience Soothing Treatment Lotion,34,4.4,-39.52323,30.912756
Moisturizer,Combination,Dramatically Different Moisturizing Lotion+,28,3.9,-58.16202,-27.167845
Moisturizer,Combination,GenOptics Aura Essence Serum,240,4.1,26.483883,28.478107
Moisturizer,Combination,Pure One Step Camellia Cleansing Oil,48,4.5,22.34664,14.855546
Moisturizer,Combination,Sheer Transformation® Perfecting Moisturizer,38,4.2,-2.4431698,-12.889304
Moisturizer,Combination,Your Skin But Better CC+ Cream Oil-Free Matte with SPF 40,38,3.9,33.18909,43.961334
Moisturizer,Combination,Water Sleeping Mask,25,4.4,12.260526,37.487225
Moisturizer,Combination,Facial Treatment Essence Mini,99,4.1,-16.757399,10.596617
Moisturizer,Combination,Luminous Dewy Skin Mist,48,4,-28.496271,20.343985
Moisturizer,Combination,Dramatically Different Moisturizing Gel,28,4.5,-48.0307,-21.41434
Moisturizer,Combination,Goodnight Glow Retin-ALT Sleeping Crème,55,4.3,46.513306,25.755867
Moisturizer,Combination,U.F.O. Ultra-Clarifying Face Oil,80,4.2,38.393818,4.5470834
Moisturizer,Combination,Watermelon Glow Sleeping Mask,45,4.1,24.714975,-37.60813
Moisturizer,Combination,Pink Cloud Rosewater Moisture Crème,48,4.6,43.46126,-35.90804
Moisturizer,Combination,Tidal Brightening Enzyme Water Cream,65,4.2,62.897194,-19.999508
Moisturizer,Combination,Beauty Elixir,18,4.3,44.097206,-2.7032475
Moisturizer,Combination,Grape Water,10,4.5,15.932203,-2.9564843
Moisturizer,Combination,Adaptogen Deep Moisture Cream,58,4.8,62.327755,-4.474703
Moisturizer,Combination,The Renewal Oil,245,4.2,79.892944,5.7462926
Moisturizer,Combination,Squalane + Vitamin C Rose Oil,72,4.4,6.7361937,-16.509403
Moisturizer,Combination,BB Tinted Treatment 12-Hour Primer Broad Spectrum SPF 30 Sunscreen,37,4.3,10.615712,10.772667
Moisturizer,Combination,GinZing™ Energy-Boosting Gel Moisturizer,29,4.4,-12.418742,-35.01903
Moisturizer,Combination,Beauty Water,30,4.6,7.1885047,20.121977
Moisturizer,Combination,The Silk Cream,120,4.3,34.968525,21.722013
Moisturizer,Combination,C-Rush™ Brightening Gel Crème,44,4.6,29.248379,-4.190242
Moisturizer,Combination,Color Control Cushion Compact Broad Spectrum SPF 50+,60,4,62.03424,11.133021
Moisturizer,Combination,Vitamin Enriched Face Base Priming Moisturizer,60,4.5,-37.283432,3.5430672
Moisturizer,Combination,Cicapair ™ Tiger Grass Color Correcting Treatment SPF 30,52,4.2,-61.21828,19.072187
Moisturizer,Combination,Vinosource Moisturizing Sorbet,39,4.2,-23.186558,-12.454885
Moisturizer,Combination,Lapis Oil Balancing Facial Oil,72,4.4,21.386684,-5.552418
Moisturizer,Combination,CC Crème High Definition Radiance Face Cream Skin Perfector,44,4.1,23.328522,56.35379
Moisturizer,Combination,C.E.O. C + E antiOXIDANT Protect + Repair Moisturizer,65,4.1,-65.649666,3.8999953
Moisturizer,Combination,Your Skin But Better™ CC+Illumination™ Cream with SPF 50+,38,3.9,287.6121,38.995205
Moisturizer,Combination,Luminous Dewy Skin Night Concentrate,110,4.5,28.765982,20.208187
Moisturizer,Combination,GLOWSTARTER™ Mega Illuminating Moisturizer,49,4,1.5520217,45.167843
Moisturizer,Combination,Ceramidin™ Cream,48,4.6,19.251411,-17.35465
Moisturizer,Combination,BB Cushion Hydra Radiance SPF 50,38,4.3,64.31324,15.746995
Moisturizer,Combination,FUTURE RESPONSE Age Defense Creme,195,4.4,2.169396,24.414238
Moisturizer,Combination,THIRSTYMUD™ Hydrating Treatment,59,4.3,-16.118505,92.01461
Moisturizer,Combination,Honey Drop Lightweight Moisturizer with Echinacea GreenEnvy™,45,4.1,-25.645437,-4.754202
Moisturizer,Combination,Water Drench Hyaluronic Cloud Cream,52,4.4,-35.342255,16.486172
Moisturizer,Combination,Vintage Single Extract Essence,145,4.5,0.9542605,18.528229
Moisturizer,Combination,Confidence in a Cream™ Transforming Moisturizing Super Cream,48,4.3,-38.11663,-31.902023
Moisturizer,Combination,Crème Ancienne®,290,4.4,23.779606,7.723541
Moisturizer,Combination,Hello FAB Coconut Skin Smoothie Priming Moisturizer,28,4.2,-48.051952,28.545689
Moisturizer,Combination,Secret Sauce Clinically Advanced Miraculous Anti-Aging Moisturizer,68,3.8,-38.57456,-46.641388
Moisturizer,Combination,Moisture Surge Intense Skin Fortifying Hydrator,39,4.4,54.537174,-31.365507
Moisturizer,Combination,Argan Daily Moisturizer SPF 47,32,3.9,8.119742,1.1993742
Moisturizer,Combination,Water Bank Essence,36,4.7,19.367273,41.018925
Moisturizer,Combination,Watermelon Pink Juice Moisturizer,39,4.1,5.637082,-23.43623
Moisturizer,Combination,The Moisturizing Cool Gel Cream,175,3.3,7.4637938,-4.703581
Moisturizer,Combination,Renewed Hope in A Jar Refreshing & Refining Moisturizer,39,4.1,-46.089596,-2.7548807
Moisturizer,Combination,Cold Plasma Sub-D Firming Neck Treatment,135,3.8,50.030674,16.447945
Moisturizer,Combination,Rénergie Lift Multi-Action Night,122,4.3,-22.50792,5.333418
Moisturizer,Combination,GENIUS Ultimate Anti-Aging Cream,112,4.3,-29.217316,9.657596
Moisturizer,Combination,Cicapair™ Tiger Grass Cream,48,4.3,44.34558,36.56174
Moisturizer,Combination,Dramatically Different Hydrating Jelly,28,4,-18.928793,31.616959
Moisturizer,Combination,Whipped Argan Oil Face Butter,40,4.1,25.554792,-28.244194
Moisturizer,Combination,Sleep Tight Firming Night Balm with Echinacea GreenEnvy™,48,4.3,34.205505,-42.521477
Moisturizer,Combination,Invigorating Night Transformation™ Gel,48,4.3,58.099728,29.63798
Moisturizer,Combination,Aqua Bomb Sleeping Mask,34,4.7,47.56522,58.900246
Moisturizer,Combination,Superfood Air-Whip Hyaluronic Acid Moisture Cream,48,4.2,-14.508216,5.394984
Moisturizer,Combination,The Indigo Cream Soothing Skin Protectant,85,4.2,-18.730751,-0.30276954
Moisturizer,Combination,Squalane + Omega Repair Cream,58,4.7,18.269117,-25.452303
Moisturizer,Combination,Daily Reviving Concentrate,47,4.7,12.322938,-21.282297
Moisturizer,Combination,BB Cream SPF 35,47,3.9,-10.257371,-8.5647545
Moisturizer,Combination,Vitamin C Glow Moisturizer,42,4.3,-4.6972704,39.35149
Moisturizer,Combination,Wild Rose + Vitamin C Advanced Brightening Sleeping Facial,48,4.4,-48.623425,-35.599346
Moisturizer,Combination,Peat Miracle Revital Cream,58,4.7,24.369125,-48.394524
Moisturizer,Combination,Superberry Hydrate + Glow Oil,44,4.8,34.078728,-21.42895
